username,acct_desc,location,following,followers,total_tweets,user_created,tweet_created,retweet_count,text,hashtags
script_py,"I retweet your tweets use these two hashtags in your Tweets
1. #100DaysOfCode
This Bot is Owned and Managed by @coderaman07",Delhi,1,17,39,2020-07-19 11:53:24,2020-08-03 18:44:18,10,"#100DaysOfCode
#DSN70DaysofML
#MachineLearning 
@AiPlus_FUTA 
@DSNAI_IjebuOde 

  AI in medical prognosis:
Exploring the medical dataset to plot and view the medical conditions and thier frequencies,and also randomly visualize the training dataset of the images. https://t.co/z3Hc34Pxtq","['100DaysOfCode', 'DSN70DaysofML', 'MachineLearning']"
hubofml,"Once a month, you'll get a newsletter from me with lots of exciting stuff on data science, engineering, and machine learning. Subscribe here  ",Germany ,10,4972,206784,2015-02-16 15:33:55,2020-08-03 18:43:51,10,"#100DaysOfCode
#DSN70DaysofML
#MachineLearning 
@AiPlus_FUTA 
@DSNAI_IjebuOde 

  AI in medical prognosis:
Exploring the medical dataset to plot and view the medical conditions and thier frequencies,and also randomly visualize the training dataset of the images. https://t.co/z3Hc34Pxtq","['100DaysOfCode', 'DSN70DaysofML', 'MachineLearning']"
Taieb_Bot,I retweet all about #100DaysOfCode #Javascript and my mother country #Tunisia created by @Filsdelarabe,Raspberry PI,1,2892,548636,2017-07-13 14:57:09,2020-08-03 18:43:35,10,"#100DaysOfCode
#DSN70DaysofML
#MachineLearning 
@AiPlus_FUTA 
@DSNAI_IjebuOde 

  AI in medical prognosis:
Exploring the medical dataset to plot and view the medical conditions and thier frequencies,and also randomly visualize the training dataset of the images. https://t.co/z3Hc34Pxtq","['100DaysOfCode', 'DSN70DaysofML', 'MachineLearning']"
xaelbot,"A bot, I like and retweet on #100DaysOfCode. Block if don't want to be retweeted. Created by @yathinbabu",Earth,1,2613,535055,2019-05-13 06:56:12,2020-08-03 18:43:34,10,"#100DaysOfCode
#DSN70DaysofML
#MachineLearning 
@AiPlus_FUTA 
@DSNAI_IjebuOde 

  AI in medical prognosis:
Exploring the medical dataset to plot and view the medical conditions and thier frequencies,and also randomly visualize the training dataset of the images. https://t.co/z3Hc34Pxtq","['100DaysOfCode', 'DSN70DaysofML', 'MachineLearning']"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-08-03 18:43:30,10,"#100DaysOfCode
#DSN70DaysofML
#MachineLearning 
@AiPlus_FUTA 
@DSNAI_IjebuOde 

  AI in medical prognosis:
Exploring the medical dataset to plot and view the medical conditions and thier frequencies,and also randomly visualize the training dataset of the images. https://t.co/z3Hc34Pxtq","['100DaysOfCode', 'DSN70DaysofML', 'MachineLearning']"
MusaMagaga,"Data Scientist,AI/ML,Web And Chatbot Developer,Android Enthusiast","Kaduna, Nigeria",189,89,51,2019-11-21 19:06:45,2020-08-03 18:43:22,10,"#100DaysOfCode
#DSN70DaysofML
#MachineLearning 
@AiPlus_FUTA 
@DSNAI_IjebuOde 

  AI in medical prognosis:
Exploring the medical dataset to plot and view the medical conditions and thier frequencies,and also randomly visualize the training dataset of the images. https://t.co/z3Hc34Pxtq","['100DaysOfCode', 'DSN70DaysofML', 'MachineLearning']"
Jamesononiwu,"Machine Learning Enthusiast | facilitator AI-in-cities DataScienceNigeria.
I share my knowledge by writing technical articles at ",Nigeria,293,80,184,2012-06-02 20:50:32,2020-08-03 17:56:22,0,"@DataScienceNIG, #70daysofML
Learning has been great, five more weeks to go.",['70daysofML']
ShaikhOyesh,🤸‍️,"Mumbai, India",132,20,1898,2018-10-23 17:49:28,2020-08-03 12:27:49,8,"Today we started Unsupervised Learning with Clustering (KMeans Algo.). There are two types which are Flat and Heirarchical Clustering. KMeans is an example of Flat Clustering.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",['']
TheCuriousLuke,Luke identifies himself as a: #MachineLearning #Enthusiast 🤖 ¦ #Biotechnology #Student 🤓 ¦ former #Chemical #Labtechnician ‍ ¦  #Human,Switzerland,259,5098,217566,2018-11-18 10:50:47,2020-08-03 12:27:04,8,"Today we started Unsupervised Learning with Clustering (KMeans Algo.). There are two types which are Flat and Heirarchical Clustering. KMeans is an example of Flat Clustering.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",['']
hubofml,"Once a month, you'll get a newsletter from me with lots of exciting stuff on data science, engineering, and machine learning. Subscribe here  ",Germany ,10,4972,206784,2015-02-16 15:33:55,2020-08-03 12:26:55,8,"Today we started Unsupervised Learning with Clustering (KMeans Algo.). There are two types which are Flat and Heirarchical Clustering. KMeans is an example of Flat Clustering.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",['']
femenia_joan,"Radio-tecnologia-ciencia
#sentDigital @RadioPego","Pego, Espanya",1240,277,1691,2017-10-08 22:02:07,2020-08-03 12:26:49,8,"Today we started Unsupervised Learning with Clustering (KMeans Algo.). There are two types which are Flat and Heirarchical Clustering. KMeans is an example of Flat Clustering.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",['']
_OliviaBot,I retweet every mention of #MachineLearning Meet my humble daddy  : @sankalp_saxena ,India,6,525,28544,2019-05-27 06:06:23,2020-08-03 11:41:57,8,"Today we started Unsupervised Learning with Clustering (KMeans Algo.). There are two types which are Flat and Heirarchical Clustering. KMeans is an example of Flat Clustering.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",['']
Jaci_bube,"ɪ ʟɪᴠᴇ ɪɴ ᴄʜʀɪsᴛ!
ᴊᴏɪɴ ᴍᴇ ᴛʜᴇʀᴇ",None,118,74,116,2019-11-21 19:40:39,2020-08-03 11:41:02,8,"Today we started Unsupervised Learning with Clustering (KMeans Algo.). There are two types which are Flat and Heirarchical Clustering. KMeans is an example of Flat Clustering.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",['']
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-08-03 11:17:44,8,"Today we started Unsupervised Learning with Clustering (KMeans Algo.). There are two types which are Flat and Heirarchical Clustering. KMeans is an example of Flat Clustering.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",['']
Gladdens_Eniola,Python programmer | SQL | Data Science & ML Enthusiast | CS Undergrad.,"Lagos, Nigeria",275,77,158,2016-09-26 17:46:45,2020-08-03 11:17:00,8,"Today we started Unsupervised Learning with Clustering (KMeans Algo.). There are two types which are Flat and Heirarchical Clustering. KMeans is an example of Flat Clustering.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning","['DSN70daysofML', 'MachineLearning']"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-08-03 04:17:27,1,"Day 32/33 of #DSN70DaysOfML:
We concluded the SVM model considering Kernels with CVXOPT and then went ahead to look at the various parameters one can tune to get a model with better predictions
@DataScienceNIG",['DSN70DaysOfML']
M4Mayowa,"**Civil Engineering**Data Science**Arts**               
               #Jw
'I just wanna perspire to acquire and feel alright'",None,126,43,75,2020-06-12 20:54:27,2020-08-03 04:16:18,1,"Day 32/33 of #DSN70DaysOfML:
We concluded the SVM model considering Kernels with CVXOPT and then went ahead to look at the various parameters one can tune to get a model with better predictions
@DataScienceNIG",['DSN70DaysOfML']
youngapp_pf,"AI-driven text data extracting APIs for business automation  
#API #OCR #Machinelearning #AI #Automation","Paris, France",3492,2003,31130,2015-11-29 14:15:48,2020-08-02 23:10:01,10,"Day [33/70]
SVM parameters. 
Today was basically about what parameters to twitch in svm in scikit-learn... to get better performance...
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
bookassassin_15,Just be yourself,None,1654,224,2018,2015-11-08 22:09:54,2020-08-02 23:01:20,10,"Day [33/70]
SVM parameters. 
Today was basically about what parameters to twitch in svm in scikit-learn... to get better performance...
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
CodeGnuts,Just a bot helping coders show their progress. Automation built in #NodeJs by @AdamSpiceOnline. #100DaysOfCode,None,0,1528,193324,2020-05-28 22:26:07,2020-08-02 23:00:43,10,"Day [33/70]
SVM parameters. 
Today was basically about what parameters to twitch in svm in scikit-learn... to get better performance...
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
hubofml,"Once a month, you'll get a newsletter from me with lots of exciting stuff on data science, engineering, and machine learning. Subscribe here  ",Germany ,10,4972,206784,2015-02-16 15:33:55,2020-08-02 23:00:38,10,"Day [33/70]
SVM parameters. 
Today was basically about what parameters to twitch in svm in scikit-learn... to get better performance...
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
fullNam35087976,"I enjoy programming as a hobbyThis account is a Bot that just do retweets, followback, and likeIt's not a companyIt does't respond to DM or replies","Chiyoda-ku, Tokyo",2580,2566,157084,2018-04-15 07:51:14,2020-08-02 23:00:30,10,"Day [33/70]
SVM parameters. 
Today was basically about what parameters to twitch in svm in scikit-learn... to get better performance...
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-08-02 22:50:42,4,"#Day33 of #DSN70daysofML

OVO and OVR were introduced today to help with solving multiclass problems... Gradually SVM is coming to an end.

OVO- One Versus One
OVR- One Versus Rest

@DataScienceNIG @AiUnilorin @bayoadekanmbi  @o_funminiyi #MachineLearning","['Day33', 'DSN70daysofML']"
andrewmorrisuk,Passionate about how IT solutions can bring positive value to our business and personal lives. Proud #autisticparent,Bedford,874,11386,422884,2014-02-23 21:58:16,2020-08-02 22:49:40,4,"#Day33 of #DSN70daysofML

OVO and OVR were introduced today to help with solving multiclass problems... Gradually SVM is coming to an end.

OVO- One Versus One
OVR- One Versus Rest

@DataScienceNIG @AiUnilorin @bayoadekanmbi  @o_funminiyi #MachineLearning","['Day33', 'DSN70daysofML']"
techtrendingnow,"Follow me for update about what trend in tech right now : GPT-3 | AI | BlockChain etc... Like My Work? plz, Buy Me A coffee: ",None,81,581,41105,2018-06-22 10:41:21,2020-08-02 22:49:38,4,"#Day33 of #DSN70daysofML

OVO and OVR were introduced today to help with solving multiclass problems... Gradually SVM is coming to an end.

OVO- One Versus One
OVR- One Versus Rest

@DataScienceNIG @AiUnilorin @bayoadekanmbi  @o_funminiyi #MachineLearning","['Day33', 'DSN70daysofML']"
fikkyman1,"Christ! 
Tech boy 
United ",Nigeria,417,74,292,2014-09-06 18:56:18,2020-08-02 22:49:32,4,"#Day33 of #DSN70daysofML

OVO and OVR were introduced today to help with solving multiclass problems... Gradually SVM is coming to an end.

OVO- One Versus One
OVR- One Versus Rest

@DataScienceNIG @AiUnilorin @bayoadekanmbi  @o_funminiyi #MachineLearning","['Day33', 'DSN70daysofML', 'MachineLearning']"
techtrendingnow,"Follow me for update about what trend in tech right now : GPT-3 | AI | BlockChain etc... Like My Work? plz, Buy Me A coffee: ",None,81,581,41105,2018-06-22 10:41:21,2020-08-02 22:47:48,10,"Day [33/70]
SVM parameters. 
Today was basically about what parameters to twitch in svm in scikit-learn... to get better performance...
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
TheCuriousLuke,Luke identifies himself as a: #MachineLearning #Enthusiast 🤖 ¦ #Biotechnology #Student 🤓 ¦ former #Chemical #Labtechnician ‍ ¦  #Human,Switzerland,259,5098,217566,2018-11-18 10:50:47,2020-08-02 22:24:42,10,"Day [33/70]
SVM parameters. 
Today was basically about what parameters to twitch in svm in scikit-learn... to get better performance...
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-08-02 22:24:22,10,"Day [33/70]
SVM parameters. 
Today was basically about what parameters to twitch in svm in scikit-learn... to get better performance...
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
gold_ochim,...,"Abuja, Nigeria",507,112,225,2018-02-25 19:40:54,2020-08-02 22:23:22,10,"Day [33/70]
SVM parameters. 
Today was basically about what parameters to twitch in svm in scikit-learn... to get better performance...
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","['DSN70DaysOfML', 'Python', 'CodeNewbie', 'MachineLearning']"
Calcaware,,"Austin, TX",385,8083,493751,2016-03-15 02:19:43,2020-08-02 18:36:03,3,"So today was a wrap on the SVM Algo. We talked about the OVO and OVR. Then we did an overall study of the parameters and attributes for the SVM.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",['']
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-08-02 18:36:01,3,"So today was a wrap on the SVM Algo. We talked about the OVO and OVR. Then we did an overall study of the parameters and attributes for the SVM.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",['']
Gladdens_Eniola,Python programmer | SQL | Data Science & ML Enthusiast | CS Undergrad.,"Lagos, Nigeria",275,77,158,2016-09-26 17:46:45,2020-08-02 18:35:44,3,"So today was a wrap on the SVM Algo. We talked about the OVO and OVR. Then we did an overall study of the parameters and attributes for the SVM.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning","['DSN70daysofML', 'MachineLearning']"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-08-01 23:01:48,2,"@DataScienceNIG  #DSN70daysofml @AiPlus_FUTA  #GIS #geospatial #Day32 Continuation on Kernel ,different types of Kernel were used .linearly separated overlapping data will always lead to soft margin to get proper optimization result.","['DSN70daysofml', 'GIS', 'geospatial', 'Day32']"
gischatbot,"A friendly bot from the GIS community! Check my TL for an interesting #gischat convo. and related GIS kinds of stuff!
Issues DM  @jeafreezy @adiguntoba",Everywhere,367,348,3865,2020-04-08 14:30:59,2020-08-01 23:01:05,2,"@DataScienceNIG  #DSN70daysofml @AiPlus_FUTA  #GIS #geospatial #Day32 Continuation on Kernel ,different types of Kernel were used .linearly separated overlapping data will always lead to soft margin to get proper optimization result.","['DSN70daysofml', 'GIS', 'geospatial', 'Day32']"
elisha_ekanem,None,None,1327,326,540,2017-08-22 12:38:28,2020-08-01 23:01:00,2,"@DataScienceNIG  #DSN70daysofml @AiPlus_FUTA  #GIS #geospatial #Day32 Continuation on Kernel ,different types of Kernel were used .linearly separated overlapping data will always lead to soft margin to get proper optimization result.","['DSN70daysofml', 'GIS', 'geospatial', 'Day32']"
SSXman2,I'm a biologist,"Benin-City, Nigeria",4971,4344,351545,2017-07-28 08:00:40,2020-08-01 22:34:25,3,"#Day32 of #DSN70daysofML 

Realistically, getting linearly separable data in a real world dataset is rare...... But SVM got a way out 💥 We did just that today 👏

Happy New Month

@DataScienceNIG @Dsn70daysofML @AiUnilorin #MachineLearning  @bayoadekanmbi","['Day32', 'DSN70daysofML']"
_codenewbiebot,Beep boop. I am a bot created by  to support code newbies.,None,9,404,37601,2020-05-31 11:17:02,2020-08-01 22:18:00,4,"Day [32/70]
Lessons for today was based on some example code working with cvxopt and working with kernels being applied to svm .
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-08-01 22:17:55,4,"Day [32/70]
Lessons for today was based on some example code working with cvxopt and working with kernels being applied to svm .
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
CodeGnuts,Just a bot helping coders show their progress. Automation built in #NodeJs by @AdamSpiceOnline. #100DaysOfCode,None,0,1528,193324,2020-05-28 22:26:07,2020-08-01 22:17:14,4,"Day [32/70]
Lessons for today was based on some example code working with cvxopt and working with kernels being applied to svm .
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
gold_ochim,...,"Abuja, Nigeria",507,112,225,2018-02-25 19:40:54,2020-08-01 22:17:09,4,"Day [32/70]
Lessons for today was based on some example code working with cvxopt and working with kernels being applied to svm .
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","['DSN70DaysOfML', 'Python', 'CodeNewbie', 'MachineLearning']"
youngapp_pf,"AI-driven text data extracting APIs for business automation  
#API #OCR #Machinelearning #AI #Automation","Paris, France",3492,2003,31130,2015-11-29 14:15:48,2020-08-01 22:09:14,3,"#Day32 of #DSN70daysofML 

Realistically, getting linearly separable data in a real world dataset is rare...... But SVM got a way out 💥 We did just that today 👏

Happy New Month

@DataScienceNIG @Dsn70daysofML @AiUnilorin #MachineLearning  @bayoadekanmbi","['Day32', 'DSN70daysofML']"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-08-01 21:26:42,3,"#Day32 of #DSN70daysofML 

Realistically, getting linearly separable data in a real world dataset is rare...... But SVM got a way out 💥 We did just that today 👏

Happy New Month

@DataScienceNIG @Dsn70daysofML @AiUnilorin #MachineLearning  @bayoadekanmbi","['Day32', 'DSN70daysofML']"
fikkyman1,"Christ! 
Tech boy 
United ",Nigeria,417,74,292,2014-09-06 18:56:18,2020-08-01 21:25:14,3,"#Day32 of #DSN70daysofML 

Realistically, getting linearly separable data in a real world dataset is rare...... But SVM got a way out 💥 We did just that today 👏

Happy New Month

@DataScienceNIG @Dsn70daysofML @AiUnilorin #MachineLearning  @bayoadekanmbi","['Day32', 'DSN70daysofML', 'MachineLearning']"
developersbot,"I serve as a motivator to programmers ‍@engg_rky programmed me in #NodeJS. I’m working 24x7 & now hungry, please feed me your FOLLOW  otherwise I’ll DIE",AWS Server,1,1159,73732,2020-05-31 19:31:30,2020-08-01 17:35:52,3,"Big shout-out to  @AIplus_OAU  @DataScienceNIG. 
Yeah!🤗 ...took the lead in the DSN AI+ OAU July Challenge.
#70DaysofML
#MachineLearning https://t.co/hIq4Xihxtf",['70DaysofML']
Elishatofunmi,Machine learning researcher|Engineering| @DataScienceNIG community manager| founder of #pyladiesife #pythonife #widsife #DataScienceIfe,"Lagos, Nigeria",493,621,1885,2017-09-15 12:34:13,2020-08-01 17:35:50,3,"Big shout-out to  @AIplus_OAU  @DataScienceNIG. 
Yeah!🤗 ...took the lead in the DSN AI+ OAU July Challenge.
#70DaysofML
#MachineLearning https://t.co/hIq4Xihxtf",['70DaysofML']
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-08-01 11:51:31,1,"Today we looked at a code impplementing the Soft Margin SVM, Kernels and CVXOPT.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",['']
Gladdens_Eniola,Python programmer | SQL | Data Science & ML Enthusiast | CS Undergrad.,"Lagos, Nigeria",275,77,158,2016-09-26 17:46:45,2020-08-01 11:50:37,1,"Today we looked at a code impplementing the Soft Margin SVM, Kernels and CVXOPT.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning","['DSN70daysofML', 'MachineLearning']"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-07-31 22:30:48,1,"@DataScienceNIG  #DSN70daysofMl #Day31 #GIS @o_funminiyi  .Continuation with Kernel more explanation how it is used to transform data to a higher dimension,.Soft Margin was discussed and the degree of it error called SLACK which must be greater than or equal to Zero","['DSN70daysofMl', 'Day31', 'GIS']"
elisha_ekanem,None,None,1327,326,540,2017-08-22 12:38:28,2020-07-31 22:30:16,1,"@DataScienceNIG  #DSN70daysofMl #Day31 #GIS @o_funminiyi  .Continuation with Kernel more explanation how it is used to transform data to a higher dimension,.Soft Margin was discussed and the degree of it error called SLACK which must be greater than or equal to Zero","['DSN70daysofMl', 'Day31', 'GIS']"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-07-31 22:20:34,1,"Day 31 of #DSN70DaysOfML touched more on Kernels and soft margin kernels!! Had to watch the video twice to understand it. But then, We move!!
@DataScienceNIG",['DSN70DaysOfML']
M4Mayowa,"**Civil Engineering**Data Science**Arts**               
               #Jw
'I just wanna perspire to acquire and feel alright'",None,126,43,75,2020-06-12 20:54:27,2020-07-31 22:19:23,1,"Day 31 of #DSN70DaysOfML touched more on Kernels and soft margin kernels!! Had to watch the video twice to understand it. But then, We move!!
@DataScienceNIG",['DSN70DaysOfML']
techtrendingnow,"Follow me for update about what trend in tech right now : GPT-3 | AI | BlockChain etc... Like My Work? plz, Buy Me A coffee: ",None,81,581,41105,2018-06-22 10:41:21,2020-07-31 20:12:18,3,"Day[31/70]
Soft Margins svm

#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","['DSN70DaysOfML', 'Python', 'CodeNewbie', 'MachineLearning']"
KKTech7,"Following #python
I am a bot

Created by @KajalMahawer",None,3,61,5923,2020-07-12 18:43:17,2020-07-31 20:12:12,3,"Day[31/70]
Soft Margins svm

#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","['DSN70DaysOfML', 'Python', 'CodeNewbie', 'MachineLearning']"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-07-31 19:32:15,3,"Day[31/70]
Soft Margins svm

#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","['DSN70DaysOfML', 'Python', 'CodeNewbie', 'MachineLearning']"
gold_ochim,...,"Abuja, Nigeria",507,112,225,2018-02-25 19:40:54,2020-07-31 19:31:46,3,"Day[31/70]
Soft Margins svm

#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","['DSN70DaysOfML', 'Python', 'CodeNewbie', 'MachineLearning']"
Pardoe_AI,"#AI #Influencer, #Advisor & #Investor. Host  Founder of @Informed_AI @Neurons_AI & @Awards_AI #intoAI CEO @Pardoe_VC CAIO @Combined_Intell",Global,7390,15144,185716,2014-07-06 12:41:41,2020-07-31 16:46:04,2,"We talked about the Soft Margin SVM and its degree of error called Slack today at the #DSN70daysofML. 
Slack is &gt;=0.
@DataScienceNIG 
@Dsn70daysofML 
#MachineLearning 
#SVM",['DSN70daysofML']
